Participant,Run,Velocity(m/s),Delay(ms),Time(s),Maze score,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Overall Score
1,1,6.0,0,50,49.62,24.0,42.0,65.0,50.0,70.0,90.0,56.833333333333336
1,2,2.2,0,30,74.44,50.0,40.0,20.0,33.0,44.0,98.0,47.5
1,3,2.2,500,40,83.59,50.0,60.0,40.0,90.0,80.0,60.0,63.333333333333336
2,1,6.0,250,50,100.0,40.0,40.0,20.0,30.0,50.0,75.0,42.5
2,2,3.6,250,53,,,,,,,,
2,3,6.0,2000,80,,,,,,,,
3,1,6.0,250,40,,,,,,,,
3,2,2.2,2000,60,,,,,,,,
3,3,3.6,250,53,,,,,,,,
4,1,6.0,1000,69,,,,,,,,
4,2,6.0,2000,68,,,,,,,,
4,3,3.6,0,65,,,,,,,,
5,1,6.0,1000,75,,,,,,,,
5,2,6.0,500,53,,,,,,,,
5,3,2.2,0,23,,,,,,,,
6,1,2.2,1000,42,,,,,,,,
6,2,3.6,0,35,,,,,,,,
6,3,6.0,250,75,,,,,,,,
7,1,6.0,2000,96,,,,,,,,
7,2,6.0,500,53,,,,,,,,
7,3,6.0,250,23,,,,,,,,
8,1,3.6,500,53,,,,,,,,
8,2,6.0,500,4,,,,,,,,
8,3,3.6,2000,41,,,,,,,,
