Dependent Variable,Coefficient,Standard Error,t-Value,P>|t|,95% Confidence Interval
Mental Demand,-0.001885015261350642,0.005856313331611835,-0.3218774602061513,0.7490037325950378,"[-0.014, 0.010]"
Physical Demand,0.0004351869515452118,0.000294967480093045,1.475372645852132,0.1469248403454789,"[-0.000, 0.001]"
Temporal Demand,0.0037914917970240315,0.005964484800506151,0.6356780046957756,0.5281363137855113,"[-0.008, 0.016]"
Performance,-0.007840518885921422,0.004900153547918488,-1.6000557552430081,0.11643280077672037,"[-0.018, 0.002]"
Effort,0.0031893838229683216,0.0062650856028218195,0.5090726647903758,0.6131346470669037,"[-0.009, 0.016]"
Frustration,0.017649513544448683,0.005410448255679421,3.262116688006719,0.0020876003586000123,"[0.007, 0.029]"
Overall Score,0.002487123235406328,0.0031708971752425967,0.7843594723994937,0.43684989155280374,"[-0.004, 0.009]"
Delays,1.0000000000000004,7.959709932687985e-17,1.2563271883731844e+16,0.0,"[1.000, 1.000]"
Time Scores,0.008530749236932457,0.0072326463805279465,1.1794782695168564,0.24427212335377327,"[-0.006, 0.023]"
Maze score,-0.0015232616367798647,0.004288780852975701,-0.35517357706047725,0.7240829743372528,"[-0.010, 0.007]"
